task_id,query_id,result_type,item_id,timestamp,duration
1,0,left,1,1577172308010,1207
1,0,up,1,1577172309349,738
1,0,left,2,1577172311132,717
1,0,left,3,1577172315355,463
1,0,left,4,1577172317603,1503
1,0,left,5,1577172326416,580
1,0,left,6,1577172327239,256
1,0,left,7,1577172327728,258
1,0,left,8,1577172329727,474
1,0,left,11,1577172337290,935
1,0,left,12,1577172338630,1355
1,0,left,13,1577172340250,327
1,0,left,12,1577172340711,325
1,0,left,13,1577172355521,1206
1,0,left,14,1577172357123,360
1,0,left,13,1577172357850,723
2,0,left,1,1577169896723,472
2,0,up,1,1577169897365,170
2,0,left,1,1577169898096,3031
2,0,up,1,1577169901539,210
2,0,left,1,1577169902494,2244
2,0,left,2,1577169905412,1045
2,0,left,4,1577169910152,446
2,0,left,5,1577169913104,1563
2,0,left,4,1577170010270,294
2,0,left,6,1577170011841,242
2,0,left,7,1577170012874,21
2,0,left,8,1577170013130,156
2,0,left,9,1577170016594,298
2,0,left,10,1577170020169,287
2,0,left,12,1577170022209,1811
2,0,left,13,1577170024500,554
2,0,left,12,1577170033125,281
2,0,left,13,1577170033511,1223
2,0,bot,1,1577170038065,4018
2,0,left,12,1577170160233,753
2,0,left,11,1577170161430,398
2,0,left,13,1577170161961,851
2,0,left,8,1577170162943,275
2,0,left,7,1577170166394,299
2,0,left,3,1577170168082,15
2,0,left,2,1577170168292,7
2,0,left,1,1577170169259,513
2,0,up,1,1577170169806,1001
2,0,left,1,1577170171083,1187
2,0,up,1,1577170172474,1968
3,0,up,1,1577174344472,103
3,0,left,1,1577174344783,1914
3,0,left,2,1577174412881,506
3,0,left,3,1577174413677,218
3,0,left,4,1577174414509,274
3,0,left,5,1577174420157,71
3,0,left,6,1577174420307,294
3,0,left,8,1577174421606,44
3,0,left,9,1577174423940,117
3,0,left,11,1577174424189,210
3,0,left,12,1577174427521,2546
3,0,left,13,1577174430658,290
3,0,left,14,1577174431209,372
3,0,left,12,1577174431681,930
3,0,left,11,1577174438612,315
3,0,left,14,1577174438997,432
3,0,bot,1,1577174439495,2785
4,0,up,1,1577172120004,130
4,0,left,1,1577172120200,2720
4,0,up,1,1577172122986,296
4,0,left,1,1577172123957,3833
4,0,left,2,1577172149345,333
4,0,left,3,1577172149712,65
4,0,left,2,1577172150091,1427
4,0,left,3,1577172151750,756
4,0,left,2,1577172152605,195
4,0,left,4,1577172163864,435
4,0,left,5,1577172168107,195
4,0,left,7,1577172168420,218
4,0,left,10,1577172171236,241
4,0,left,12,1577172173379,37
4,0,bot,1,1577172173686,35
4,0,left,12,1577172179155,145
4,0,left,9,1577172179349,48
4,0,left,7,1577172179430,193
4,0,left,11,1577172179832,83
4,0,bot,1,1577172181923,86
4,0,left,5,1577172182347,367
4,0,left,2,1577172182795,384
4,0,left,1,1577172184169,401
4,0,up,1,1577172184637,1988
4,0,left,1,1577172186819,66
4,0,up,1,1577172186917,65
4,0,left,1,1577172187162,287
4,0,up,1,1577172187993,228
4,0,left,1,1577172188289,427
5,0,left,1,1577173129257,2179
5,0,left,2,1577173145442,624
5,0,left,3,1577173146250,52
5,0,left,4,1577173148979,132
5,0,left,6,1577173152388,2389
5,0,left,7,1577173155786,302
5,0,left,6,1577173156156,1634
5,0,left,7,1577173168239,3042
5,0,left,8,1577173181560,1463
5,0,left,9,1577173183346,475
5,0,left,8,1577173187044,206
5,0,left,10,1577173187445,129
5,0,left,11,1577173187819,604
5,0,left,13,1577173190708,90
5,0,left,12,1577173190918,247
5,0,left,13,1577173191860,371
5,0,left,10,1577173193901,495
5,0,left,9,1577173195699,1317
5,0,left,10,1577173214852,1047
6,0,left,1,1577171321671,1562
6,0,left,2,1577171324156,2048
6,0,left,1,1577171326473,518
6,0,up,1,1577171327025,395
6,0,left,1,1577171327486,583
6,0,left,2,1577171328169,1385
6,0,left,3,1577171330115,610
6,0,left,2,1577171330825,1228
6,0,left,1,1577171332219,1153
6,0,left,2,1577171352509,210
6,0,left,3,1577171352754,531
6,0,left,4,1577171353597,15
6,0,left,5,1577171354746,41
6,0,left,7,1577171354895,22
6,0,left,6,1577171355008,1697
6,0,left,7,1577171357006,499
6,0,left,6,1577171357605,726
6,0,left,7,1577171373816,839
6,0,left,4,1577171379033,7
6,0,left,3,1577171379087,518
6,0,left,1,1577171379753,898
7,0,up,1,1577173987693,161
7,0,left,1,1577173987923,2022
7,0,up,1,1577173990321,199
7,0,left,1,1577173990553,296
7,0,up,1,1577173991014,167
7,0,left,1,1577173991318,1347
7,0,left,2,1577173993559,3239
7,0,left,1,1577174003666,408
7,0,left,2,1577174004134,97
8,0,left,1,1577171512690,131
8,0,up,1,1577171513382,293
8,0,left,1,1577171513708,1375
8,0,up,1,1577171515285,335
8,0,left,1,1577171515654,339
8,0,left,2,1577171517475,966
8,0,left,1,1577171518680,224
8,0,left,2,1577171518938,364
8,0,left,3,1577171519558,530
8,0,left,2,1577171542947,133
8,0,left,3,1577171543115,1432
8,0,left,5,1577171546410,193
8,0,left,3,1577171550546,1574
8,0,left,5,1577171569785,3312
8,0,left,6,1577171604938,150
8,0,left,7,1577171605156,100
8,0,left,6,1577171605323,934
8,0,left,7,1577171606391,402
8,0,left,6,1577171607038,961
8,0,left,8,1577171608106,1109
8,0,left,10,1577171621782,169
8,0,left,11,1577171623065,119
8,0,left,12,1577171623265,1242
8,0,left,14,1577171626411,497
8,0,left,12,1577171626974,411
8,0,bot,1,1577171629351,612
8,0,left,12,1577171631220,402
9,0,up,1,1577172757418,1782
9,0,left,1,1577172759718,2993
9,0,left,2,1577172784871,692
9,0,left,3,1577172785714,20
9,0,left,4,1577172787411,44
9,0,left,5,1577172787513,350
9,0,left,6,1577172788996,80
9,0,left,7,1577172790267,920
9,0,left,8,1577172791698,637
9,0,left,9,1577172805491,688
9,0,left,11,1577172807916,161
9,0,left,10,1577172808173,3303
9,0,left,11,1577172811957,1621
9,0,left,12,1577172814075,265
9,0,left,11,1577172814444,744
10,0,left,1,1577173536563,939
10,0,up,1,1577173537672,327
10,0,left,1,1577173538098,2285
10,0,left,2,1577173542258,526
10,0,left,1,1577173542979,6373
10,0,left,2,1577173570148,1732
10,0,left,3,1577173572551,392
10,0,left,5,1577173583959,34
10,0,left,1,1577173585009,184
10,0,left,4,1577173587571,282
11,0,left,2,1577170918319,65
11,0,left,1,1577170918652,135
11,0,up,1,1577170918820,101
11,0,left,1,1577170919082,1821
11,0,left,2,1577170944223,737
11,0,left,3,1577170945065,1198
11,0,left,4,1577170946493,391
11,0,left,1,1577170946981,228
11,0,left,3,1577170947276,128
11,0,left,4,1577170947437,396
11,0,left,1,1577170949145,228
12,0,up,1,1577173319576,536
12,0,left,1,1577173320146,654
12,0,left,2,1577173321228,1606
12,0,left,3,1577173326227,167
12,0,left,4,1577173326428,684
12,0,left,6,1577173332756,326
12,0,left,5,1577173333116,1599
12,0,left,7,1577173351279,424
12,0,left,8,1577173351992,69
12,0,left,7,1577173352242,1057
12,0,left,8,1577173353598,326
12,0,left,9,1577173354023,485
12,0,left,7,1577173354859,549
12,0,left,9,1577173374980,642
12,0,left,8,1577173375655,193
12,0,left,9,1577173375984,1541
12,0,left,10,1577173378036,1431
12,0,left,11,1577173396823,478
13,0,up,1,1577174659258,281
13,0,left,1,1577174659638,300
13,0,up,1,1577174659971,99
13,0,left,1,1577174660103,2637
13,0,left,2,1577174679647,80
13,0,left,3,1577174679760,350
13,0,left,1,1577174682245,60
14,0,up,1,1577172922998,177
14,0,left,1,1577172925397,1847
14,0,up,1,1577172927651,410
14,0,left,1,1577172928129,337
14,0,left,2,1577172928501,649
14,0,left,3,1577172929252,741
14,0,left,1,1577172930353,2687
14,0,left,2,1577172968014,1264
14,0,left,3,1577172971955,1067
14,0,left,4,1577172973635,139
14,0,left,5,1577172994383,374
14,0,left,4,1577172994796,503
14,0,left,5,1577172995366,230
14,0,left,4,1577172995825,404
14,0,left,5,1577172996357,1833
14,0,left,6,1577172998871,949
14,0,left,7,1577173000084,391
14,0,left,5,1577173000635,1063
14,0,left,3,1577173016396,273
14,0,left,6,1577173016738,169
14,0,left,7,1577173016973,132
14,0,left,9,1577173017247,361
14,0,left,11,1577173019596,48
14,0,bot,1,1577173022351,1395
15,0,left,2,1577170695719,342
15,0,up,1,1577170696163,135
15,0,left,1,1577170696332,1876
15,0,left,2,1577170705007,451
15,0,left,3,1577170705721,3990
15,0,left,4,1577170710832,395
15,0,left,3,1577170711328,1032
15,0,left,4,1577170722791,193
15,0,left,5,1577170723251,335
15,0,left,6,1577170723657,161
15,0,left,8,1577170725361,340
15,0,left,9,1577170727218,32
15,0,right,1,1577170729682,268
15,0,left,1,1577170730152,103
16,0,left,1,1577171055360,1855
16,0,up,1,1577171057608,478
16,0,left,1,1577171058354,230
16,0,left,2,1577171058617,747
16,0,left,1,1577171059430,945
16,0,left,2,1577171079247,418
16,0,left,3,1577171079864,352
16,0,left,4,1577171080463,83
16,0,left,3,1577171080571,1704
16,0,left,4,1577171126195,465
16,0,left,5,1577171126866,740
16,0,left,6,1577171128993,66
16,0,left,10,1577171130434,832
16,0,left,11,1577171131906,390
16,0,left,8,1577171132395,399
16,0,left,11,1577171132863,339
16,0,left,8,1577171134801,1018
17,0,up,1,1577173758360,170
