task_id,query_id,result_type,item_id,timestamp,duration
1,0,left,1,1577504140599,498
1,0,up,1,1577504141475,183
1,0,left,1,1577504142910,1985
1,0,right,2,1577504166279,199
1,0,left,2,1577504167506,1620
1,0,left,1,1577504189144,102
1,0,left,2,1577504189281,1044
1,0,left,3,1577504212257,261
1,0,left,4,1577504213589,1201
1,0,left,2,1577504246750,170
1,0,left,3,1577504247225,242
2,0,left,1,1577506024282,430
2,0,left,2,1577506026191,586
2,0,left,3,1577506027384,157
2,0,left,2,1577506027736,401
2,0,left,1,1577506028492,117
2,0,left,2,1577506028648,377
2,0,left,5,1577506069453,160
3,0,left,1,1577505444105,143
3,0,up,1,1577505444827,610
3,0,left,1,1577505446244,688
3,0,left,2,1577505488955,371
3,0,left,3,1577505491180,31
3,0,left,5,1577505492412,172
3,0,left,6,1577505493845,15
3,0,left,7,1577505494412,60
3,0,left,9,1577505495733,32
3,0,left,10,1577505495928,360
3,0,left,11,1577505497429,31
3,0,left,6,1577505497627,65
3,0,left,2,1577505497893,674
4,0,left,1,1577503472929,256
4,0,up,1,1577503475540,933
4,0,left,1,1577503476768,633
4,0,left,2,1577503477519,222
4,0,left,1,1577503477992,227
4,0,up,1,1577503478965,469
4,0,left,1,1577503479468,1242
4,0,left,2,1577503507505,309
4,0,left,3,1577503507894,95
4,0,left,2,1577503508184,622
4,0,left,4,1577503522126,419
4,0,left,3,1577503522671,857
4,0,left,2,1577503524130,65
4,0,left,4,1577503527348,207
4,0,left,5,1577503527580,90
4,0,left,7,1577503527838,435
4,0,left,8,1577503528864,505
4,0,left,6,1577503529857,137
4,0,left,3,1577503530362,167
4,0,left,1,1577503530676,1841
4,0,up,1,1577503532961,965
4,0,left,1,1577503535138,396
5,0,left,1,1577505282298,349
5,0,up,1,1577505282717,209
5,0,left,1,1577505282961,1136
5,0,left,2,1577505298120,239
5,0,left,3,1577505311022,555
5,0,left,5,1577505320756,180
5,0,left,6,1577505322527,649
