task_id,query_id,event_idx,x,y,scrolly,timestamp,duration,event
1,0,4893,619,68,0.000000,1576928154504,206,Saccade
1,0,4893,494,40,0.000000,1576928154539,206,Saccade
1,0,4893,593,106,0.000000,1576928154574,206,Saccade
1,0,4893,695,84,0.000000,1576928154607,206,Saccade
1,0,4893,581,30,0.000000,1576928154642,206,Saccade
1,0,4893,229,199,0.000000,1576928154675,206,Saccade
1,0,2651,183,213,0.000000,1576928154709,103,Fixation
1,0,2651,183,213,0.000000,1576928154744,103,Fixation
1,0,2651,183,213,0.000000,1576928154779,103,Fixation
1,0,4894,143,77,0.000000,1576928154813,140,Saccade
1,0,4894,173,216,0.000000,1576928154848,140,Saccade
1,0,4894,85,253,0.000000,1576928154882,140,Saccade
1,0,4894,143,252,0.000000,1576928154918,140,Saccade
1,0,2652,146,253,0.000000,1576928154953,104,Fixation
1,0,2652,146,253,0.000000,1576928154988,104,Fixation
1,0,2652,146,253,0.000000,1576928155022,104,Fixation
1,0,4895,139,136,0.000000,1576928155057,157,Saccade
1,0,4895,219,263,0.000000,1576928155098,157,Saccade
1,0,4895,294,286,0.000000,1576928155133,157,Saccade
1,0,4895,131,299,0.000000,1576928155179,157,Saccade
1,0,4896,177,214,0.000000,1576928155256,113,Saccade
1,0,4896,195,331,0.000000,1576928155290,113,Saccade
1,0,4896,120,281,0.000000,1576928155325,113,Saccade
1,0,4897,320,257,0.000000,1576928155407,174,Saccade
1,0,4897,70,303,0.000000,1576928155442,174,Saccade
1,0,4897,62,167,0.000000,1576928155476,174,Saccade
1,0,4897,98,250,0.000000,1576928155511,174,Saccade
1,0,4897,257,280,0.000000,1576928155545,174,Saccade
1,0,4898,69,378,0.000000,1576928155621,72,Saccade
1,0,4898,108,435,0.000000,1576928155656,72,Saccade
1,0,2653,90,437,0.000000,1576928155690,245,Fixation
1,0,2653,90,437,0.000000,1576928155726,245,Fixation
1,0,2653,90,437,0.000000,1576928155761,245,Fixation
1,0,2653,90,437,0.000000,1576928155796,245,Fixation
1,0,2653,90,437,0.000000,1576928155831,245,Fixation
1,0,2653,90,437,0.000000,1576928155866,245,Fixation
1,0,2653,90,437,0.000000,1576928155901,245,Fixation
1,0,4899,131,361,0.000000,1576928155935,35,Saccade
1,0,4900,114,333,0.000000,1576928156006,174,Saccade
1,0,4900,144,405,0.000000,1576928156041,174,Saccade
1,0,4900,144,300,0.000000,1576928156076,174,Saccade
1,0,4900,108,240,0.000000,1576928156111,174,Saccade
1,0,4900,147,307,0.000000,1576928156145,174,Saccade
1,0,4901,176,313,0.000000,1576928156214,102,Saccade
1,0,4901,231,254,0.000000,1576928156248,102,Saccade
1,0,4901,240,340,0.000000,1576928156282,102,Saccade
1,0,4902,208,267,0.000000,1576928156524,28,Saccade
1,0,2654,241,308,0.000000,1576928156558,307,Fixation
1,0,2654,241,308,0.000000,1576928156592,307,Fixation
1,0,2654,241,308,0.000000,1576928156626,307,Fixation
1,0,2654,241,308,0.000000,1576928156660,307,Fixation
1,0,2654,241,308,0.000000,1576928156694,307,Fixation
1,0,2654,241,308,0.000000,1576928156728,307,Fixation
1,0,2654,241,308,0.000000,1576928156762,307,Fixation
1,0,2654,241,308,0.000000,1576928156797,307,Fixation
1,0,2654,241,308,0.000000,1576928156831,307,Fixation
1,0,4903,308,320,0.000000,1576928156865,34,Saccade
1,0,4904,312,280,0.000000,1576928156934,34,Saccade
1,0,4905,284,298,0.000000,1576928157001,34,Saccade
1,0,2655,296,300,0.000000,1576928157035,102,Fixation
1,0,2655,296,300,0.000000,1576928157069,102,Fixation
1,0,2655,296,300,0.000000,1576928157103,102,Fixation
1,0,4906,269,321,0.000000,1576928157137,101,Saccade
1,0,4906,221,217,0.000000,1576928157170,101,Saccade
1,0,4906,193,246,0.000000,1576928157204,101,Saccade
1,0,4907,137,285,0.000000,1576928157269,200,Saccade
1,0,4907,313,192,0.000000,1576928157301,200,Saccade
1,0,4907,157,281,0.000000,1576928157332,200,Saccade
1,0,4907,81,239,0.000000,1576928157374,200,Saccade
1,0,4907,234,188,0.000000,1576928157405,200,Saccade
1,0,4907,169,276,0.000000,1576928157437,200,Saccade
1,0,4908,141,301,0.000000,1576928157502,172,Saccade
1,0,4908,257,247,0.000000,1576928157538,172,Saccade
1,0,4908,140,220,0.000000,1576928157574,172,Saccade
1,0,4908,212,241,0.000000,1576928157606,172,Saccade
1,0,4908,142,230,0.000000,1576928157637,172,Saccade
1,0,2656,158,219,0.000000,1576928157678,69,Fixation
1,0,2656,158,219,0.000000,1576928157710,69,Fixation
1,0,4909,109,304,0.000000,1576928157743,65,Saccade
1,0,4909,183,290,0.000000,1576928157776,65,Saccade
1,0,4910,207,233,0.000000,1576928157841,71,Saccade
1,0,4910,159,305,0.000000,1576928157875,71,Saccade
1,0,2663,459,361,0.000000,1576928160936,507,Fixation
1,0,2663,459,361,0.000000,1576928160972,507,Fixation
1,0,2663,459,361,0.000000,1576928161008,507,Fixation
1,0,2663,459,361,0.000000,1576928161044,507,Fixation
1,0,2663,459,361,0.000000,1576928161081,507,Fixation
1,0,4925,238,317,0.000000,1576928161117,72,Saccade
1,0,4925,171,305,0.000000,1576928161153,72,Saccade
1,0,2664,158,311,0.000000,1576928161189,72,Fixation
1,0,2664,158,311,0.000000,1576928161225,72,Fixation
1,0,4926,300,280,0.000000,1576928161261,71,Saccade
1,0,4926,258,292,0.000000,1576928161296,71,Saccade
1,0,4927,312,251,0.000000,1576928161366,68,Saccade
1,0,4927,336,397,0.000000,1576928161400,68,Saccade
1,0,4928,423,307,0.000000,1576928161465,33,Saccade
1,0,4929,394,310,0.000000,1576928161530,31,Saccade
1,0,4930,550,681,0.000000,1576928161591,159,Saccade
1,0,4930,479,387,0.000000,1576928161625,159,Saccade
1,0,4930,466,607,0.000000,1576928161659,159,Saccade
1,0,4930,567,609,0.000000,1576928161689,159,Saccade
1,0,4930,518,585,0.000000,1576928161720,159,Saccade
1,0,4931,585,599,0.000000,1576928161780,495,Saccade
1,0,4931,496,500,0.000000,1576928161814,495,Saccade
1,0,4931,490,558,0.000000,1576928161844,495,Saccade
1,0,4931,455,429,0.000000,1576928161871,495,Saccade
1,0,4931,425,388,0.000000,1576928161901,495,Saccade
1,0,4931,383,414,0.000000,1576928161936,495,Saccade
1,0,4931,409,362,0.000000,1576928161966,495,Saccade
1,0,4931,421,401,0.000000,1576928161995,495,Saccade
1,0,4931,423,319,0.000000,1576928162025,495,Saccade
1,0,4931,439,266,0.000000,1576928162054,495,Saccade
1,0,4931,496,270,0.000000,1576928162083,495,Saccade
1,0,4931,520,182,0.000000,1576928162110,495,Saccade
1,0,4931,318,805,0.000000,1576928162138,495,Saccade
1,0,4931,555,238,0.000000,1576928162168,495,Saccade
1,0,4931,462,220,0.000000,1576928162193,495,Saccade
1,0,4931,465,259,0.000000,1576928162219,495,Saccade
1,0,4931,570,259,0.000000,1576928162246,495,Saccade
1,0,4932,582,676,0.000000,1576928162530,242,Saccade
1,0,4932,678,518,0.000000,1576928162566,242,Saccade
1,0,4932,643,481,0.000000,1576928162596,242,Saccade
1,0,4932,565,437,0.000000,1576928162626,242,Saccade
1,0,4932,711,404,0.000000,1576928162655,242,Saccade
1,0,4932,851,600,0.000000,1576928162685,242,Saccade
1,0,4932,718,544,0.000000,1576928162717,242,Saccade
1,0,4932,630,522,0.000000,1576928162746,242,Saccade
1,0,4933,589,581,0.000000,1576928162807,61,Saccade
1,0,4933,618,537,0.000000,1576928162837,61,Saccade
1,0,4934,619,339,0.000000,1576928162900,93,Saccade
1,0,4934,735,250,0.000000,1576928162931,93,Saccade
1,0,4934,686,299,0.000000,1576928162962,93,Saccade
1,0,4935,314,314,0.000000,1576928163025,98,Saccade
1,0,4935,312,358,0.000000,1576928163057,98,Saccade
1,0,4935,265,378,0.000000,1576928163090,98,Saccade
1,0,4936,297,329,0.000000,1576928163156,33,Saccade
1,0,4937,342,334,0.000000,1576928163223,33,Saccade
1,0,4938,287,324,0.000000,1576928163290,33,Saccade
1,0,4939,360,378,0.000000,1576928163356,34,Saccade
1,0,4940,310,341,0.000000,1576928163423,76,Saccade
1,0,4940,205,478,0.000000,1576928163457,76,Saccade
1,0,2665,183,483,0.000000,1576928163507,235,Fixation
1,0,2665,183,483,0.000000,1576928163554,235,Fixation
1,0,2665,183,483,0.000000,1576928163598,235,Fixation
1,0,2665,183,483,0.000000,1576928163644,235,Fixation
1,0,2665,183,483,0.000000,1576928163691,235,Fixation
1,0,4941,211,457,0.000000,1576928163743,98,Saccade
1,0,4941,321,477,0.000000,1576928163792,98,Saccade
1,0,4942,313,510,0.000000,1576928163884,136,Saccade
1,0,4942,270,464,0.000000,1576928163930,136,Saccade
1,0,4942,301,543,0.000000,1576928163976,136,Saccade
1,0,2666,294,543,0.000000,1576928164019,334,Fixation
1,0,2666,294,543,0.000000,1576928164067,334,Fixation
1,0,2666,294,543,0.000000,1576928164115,334,Fixation
1,0,2666,294,543,0.000000,1576928164163,334,Fixation
1,0,2666,294,543,0.000000,1576928164212,334,Fixation
1,0,2666,294,543,0.000000,1576928164260,334,Fixation
1,0,2666,294,543,0.000000,1576928164308,334,Fixation
1,0,4943,351,541,0.000000,1576928164355,49,Saccade
1,0,4944,411,236,0.000000,1576928164439,67,Saccade
1,0,4944,452,294,0.000000,1576928164472,67,Saccade
1,0,2667,444,306,0.000000,1576928164505,132,Fixation
1,0,2667,444,306,0.000000,1576928164538,132,Fixation
1,0,2667,444,306,0.000000,1576928164571,132,Fixation
1,0,2667,444,306,0.000000,1576928164604,132,Fixation
1,0,4945,454,366,0.000000,1576928164637,33,Saccade
1,0,4946,453,392,0.000000,1576928164704,33,Saccade
1,0,2668,431,370,0.000000,1576928164737,234,Fixation
1,0,2668,431,370,0.000000,1576928164770,234,Fixation
1,0,2668,431,370,0.000000,1576928164803,234,Fixation
1,0,2668,431,370,0.000000,1576928164837,234,Fixation
1,0,2668,431,370,0.000000,1576928164870,234,Fixation
1,0,2668,431,370,0.000000,1576928164904,234,Fixation
1,0,2668,431,370,0.000000,1576928164937,234,Fixation
1,0,4947,430,284,0.000000,1576928164971,71,Saccade
1,0,4947,398,363,0.000000,1576928165005,71,Saccade
1,0,4948,425,365,0.000000,1576928165080,180,Saccade
1,0,4948,381,312,0.000000,1576928165115,180,Saccade
1,0,4948,464,149,0.000000,1576928165150,180,Saccade
1,0,4948,473,400,0.000000,1576928165184,180,Saccade
1,0,4948,481,351,0.000000,1576928165226,180,Saccade
1,0,2669,469,363,0.000000,1576928165259,102,Fixation
1,0,2669,469,363,0.000000,1576928165293,102,Fixation
1,0,2669,469,363,0.000000,1576928165327,102,Fixation
