task_id,query_id,result_type,item_id,timestamp,duration
1,0,up,1,1576737720204,240
1,0,left,1,1576737720479,415
1,0,up,1,1576737720964,2239
1,0,left,1,1576737723654,7964
1,0,left,2,1576737733366,2466
1,0,left,3,1576737749778,335
1,0,left,4,1576737750560,464
1,0,left,3,1576737757466,562
1,0,left,4,1576737758062,1535
3,0,left,1,1576740877794,1410
3,0,left,2,1576740879336,1023
3,0,left,3,1576740882521,566
3,0,left,4,1576740883470,942
3,0,left,5,1576740885252,147
3,0,left,6,1576740885586,416
3,0,left,9,1576740886552,376
3,0,left,10,1576740887025,612
3,0,left,6,1576740890753,265
3,0,left,9,1576740891417,49
3,0,left,12,1576740891566,1222
3,0,left,11,1576740892991,299
3,0,left,12,1576740893324,335
3,0,left,11,1576740901387,262
3,0,left,13,1576740901885,464
3,0,left,12,1576740902963,326
3,0,bot,1,1576740904801,66
3,0,left,8,1576740905225,234
3,0,left,4,1576740905560,559
3,0,left,2,1576740906195,556
3,0,left,1,1576740906785,364
3,0,left,3,1576740908341,588
3,0,tupu,1,1576740909736,179
4,0,left,1,1576741526671,1527
4,0,left,2,1576741529794,235
4,0,left,1,1576741530418,788
4,0,left,3,1576741536410,85
4,0,left,4,1576741536600,762
4,0,left,5,1576741537745,185
4,0,left,6,1576741539716,37
4,0,left,8,1576741540169,484
4,0,left,10,1576741540825,555
4,0,bot,1,1576741542491,171
4,0,left,12,1576741543132,136
4,0,left,8,1576741543539,255
4,0,left,4,1576741543915,310
4,0,left,2,1576741544365,327
4,0,left,1,1576741544795,2869
4,0,right,1,1576741572211,600
4,0,left,1,1576741573867,172
5,0,left,1,1576738627245,4473
5,0,left,2,1576738663313,173
5,0,left,3,1576738663520,381
5,0,left,2,1576738664002,2557
5,0,left,3,1576738667279,343
5,0,left,2,1576738667689,872
5,0,left,3,1576738668896,1228
5,0,left,1,1576738670588,137
5,0,left,3,1576738671559,2129
6,0,left,1,1576741117920,34
6,0,up,1,1576741118022,64
6,0,left,1,1576741118178,931
6,0,left,2,1576741119277,813
6,0,left,1,1576741120294,436
6,0,right,1,1576741120832,1918
6,0,up,1,1576741123438,199
6,0,right,1,1576741123671,430
6,0,left,2,1576741124134,99
6,0,right,2,1576741124301,510
6,0,right,3,1576741125766,5
6,0,left,3,1576741128426,512
6,0,left,2,1576741130074,727
6,0,left,1,1576741131354,344
6,0,left,2,1576741132363,94
6,0,left,5,1576741133597,126
6,0,left,4,1576741135730,1046
6,0,left,5,1576741167643,401
6,0,left,4,1576741168110,164
7,0,up,1,1576741900014,101
7,0,left,1,1576741900149,462
7,0,left,2,1576741900745,3015
7,0,left,3,1576741909719,725
7,0,left,4,1576741911179,536
7,0,left,2,1576741911962,531
7,0,left,1,1576741912560,133
8,0,up,1,1576738136254,139
8,0,left,1,1576738136428,8418
8,0,left,2,1576738164720,576
8,0,left,3,1576738166932,4
8,0,left,4,1576738167005,195
8,0,left,5,1576738167805,97
8,0,left,3,1576738171596,946
8,0,left,1,1576738172644,614
8,0,left,2,1576738176451,193
8,0,left,4,1576738177148,450
8,0,left,5,1576738179550,1112
8,0,left,6,1576738181589,242
8,0,left,5,1576738182597,187
8,0,left,3,1576738183582,384
8,0,left,5,1576738184173,527
8,0,left,6,1576738184833,208
8,0,left,8,1576738185806,238
8,0,left,6,1576738187049,334
8,0,left,5,1576738187448,1517
8,0,left,4,1576738189091,607
8,0,left,5,1576738197421,241
8,0,left,4,1576738197696,1748
8,0,left,3,1576738200896,135
8,0,left,4,1576738201064,999
8,0,left,5,1576738202232,230
8,0,left,4,1576738202690,761
8,0,left,3,1576738209459,524
8,0,left,1,1576738210045,6405
8,0,up,1,1576738217554,199
9,0,left,1,1576737949840,783
9,0,left,2,1576737960857,1248
9,0,left,3,1576737962617,1894
9,0,left,4,1576737972296,64
9,0,left,5,1576737973129,344
9,0,left,6,1576737974595,416
9,0,left,7,1576737976721,69
9,0,left,8,1576737976927,3
9,0,left,6,1576737977327,687
10,0,left,1,1576741684830,1673
10,0,up,1,1576741686635,958
10,0,left,1,1576741687726,2753
10,0,up,1,1576741694144,327
10,0,left,1,1576741695701,169
10,0,left,2,1576741696212,1929
10,0,left,1,1576741703158,496
10,0,left,4,1576741705040,111
10,0,left,3,1576741706395,59
10,0,left,2,1576741706489,166
10,0,left,4,1576741708571,324
10,0,left,5,1576741711466,72
10,0,left,6,1576741711671,233
10,0,left,5,1576741712037,167
10,0,left,4,1576741713513,2313
10,0,left,3,1576741734997,102
11,0,left,1,1576738417006,1263
11,0,left,2,1576738418512,372
11,0,left,3,1576738418951,1873
11,0,left,1,1576738431709,983
11,0,left,3,1576738475669,313
11,0,left,4,1576738476086,205
12,0,left,1,1576740106965,582
12,0,left,2,1576740107890,3125
12,0,left,3,1576740115731,297
12,0,left,4,1576740116580,743
12,0,left,5,1576740125044,1060
12,0,left,6,1576740128237,3314
13,0,left,1,1576739108368,5079
13,0,left,2,1576739136412,332
14,0,left,1,1576739764349,2047
14,0,left,2,1576739767379,472
14,0,left,3,1576739768193,497
14,0,left,4,1576739772502,156
14,0,left,5,1576739772859,147
14,0,left,6,1576739773830,354
14,0,left,10,1576739776158,447
14,0,left,11,1576739776941,601
14,0,left,7,1576739779956,435
14,0,left,4,1576739780473,255
14,0,right,2,1576739780885,321
14,0,right,1,1576739781539,149
14,0,right,2,1576739782039,188
14,0,right,1,1576739786382,253
14,0,left,3,1576739794871,357
14,0,left,2,1576739795287,644
14,0,left,6,1576739797134,77
14,0,left,4,1576739797407,74
14,0,left,5,1576739797516,109
15,0,left,2,1576738822562,263
15,0,left,1,1576738822989,3274
15,0,left,2,1576738827228,3822
15,0,left,3,1576738831278,1182
15,0,left,4,1576738835589,307
15,0,left,5,1576738837157,506
15,0,left,6,1576738837796,1289
15,0,left,8,1576738861164,203
15,0,left,9,1576738861500,366
15,0,left,8,1576738861938,1491
15,0,left,9,1576738863630,936
15,0,left,7,1576738864734,367
16,0,left,1,1576741318008,759
16,0,left,2,1576741318865,585
16,0,right,1,1576741319645,1019
16,0,left,2,1576741320997,101
16,0,left,4,1576741321312,39
16,0,left,5,1576741321945,276
16,0,left,6,1576741323428,28
16,0,left,7,1576741324730,62
16,0,left,8,1576741324927,426
16,0,left,7,1576741325452,167
16,0,left,4,1576741326042,20
16,0,left,2,1576741326193,1349
16,0,left,3,1576741328109,381
16,0,right,1,1576741329284,1398
16,0,left,5,1576741332104,1000
17,0,left,1,1576739273415,3827
17,0,left,2,1576739300974,200
17,0,left,1,1576739301208,1251
17,0,up,1,1576739302870,380
17,0,left,1,1576739303284,102
17,0,left,2,1576739303562,99
17,0,left,1,1576739303730,6180
18,0,left,1,1576742066829,1883
18,0,left,2,1576742069535,643
18,0,left,1,1576742070830,1186
18,0,left,2,1576742072219,336
18,0,right,1,1576742072654,372
18,0,left,1,1576742073163,678
18,0,left,3,1576742115923,247
18,0,left,4,1576742116379,518
18,0,left,5,1576742117211,511
19,0,left,1,1576740710520,1176
19,0,left,2,1576740712350,547
19,0,left,4,1576740713027,899
19,0,left,6,1576740717793,630
19,0,left,8,1576740720861,236
19,0,left,10,1576740721128,380
19,0,left,11,1576740721541,1909
19,0,left,8,1576740739504,409
20,0,left,1,1576739523777,2743
20,0,left,2,1576739545592,178
20,0,left,3,1576739545907,68
20,0,left,2,1576739546009,2174
20,0,left,3,1576739581526,4667
