task_id,query_id,result_type,item_id,timestamp,duration
1,0,up,1,1576928154709,103
1,0,left,1,1576928154953,104
1,0,left,2,1576928155690,245
1,0,left,1,1576928156558,409
1,0,up,1,1576928157678,65
1,0,left,1,1576928160936,253
1,0,left,2,1576928163507,569
1,0,left,1,1576928164505,1646
1,0,up,1,1576928168180,56
1,0,left,2,1576928168388,472
2,0,up,1,1576928776906,129
2,0,left,1,1576928777720,188
2,0,left,2,1576928777982,361
2,0,left,1,1576928779044,147
2,0,left,2,1576928780475,108
2,0,left,3,1576928781188,120
2,0,left,1,1576928801628,185
2,0,left,2,1576928802108,98
2,0,left,1,1576928802244,227
2,0,left,2,1576928803900,178
2,0,left,3,1576928805140,69
2,0,left,4,1576928806122,141
3,0,left,1,1576930254405,999
3,0,up,1,1576930256379,201
3,0,left,1,1576930256648,363
3,0,up,1,1576930258353,61
3,0,left,1,1576930259111,60
3,0,left,2,1576930259954,41
3,0,left,3,1576930260154,54
3,0,left,4,1576930261587,44
3,0,left,6,1576930263153,115
3,0,left,7,1576930264103,45
3,0,left,14,1576930269622,111
3,0,bot,1,1576930269767,830
3,0,left,12,1576930274891,152
3,0,left,13,1576930275111,67
4,0,left,1,1576927912185,1509
6,0,left,1,1576928931202,426
6,0,left,2,1576928936058,67
6,0,left,3,1576928938015,271
6,0,left,4,1576928939301,197
6,0,left,3,1576928957683,161
7,0,left,1,1576929284031,661
7,0,left,2,1576929285870,1368
7,0,up,1,1576929287688,135
7,0,left,2,1576929288282,514
7,0,left,1,1576929288966,135
7,0,left,2,1576929289134,830
7,0,left,3,1576929294907,453
8,0,left,1,1576930720758,891
8,0,left,2,1576930722282,69
8,0,left,3,1576930722420,139
8,0,left,2,1576930722801,274
8,0,left,3,1576930723244,729
8,0,left,2,1576930759836,306
8,0,left,5,1576930762125,40
8,0,left,6,1576930762599,132
8,0,left,7,1576930764775,13
8,0,bot,1,1576930767422,44
8,0,left,12,1576930768089,698
8,0,left,13,1576930771618,253
8,0,left,12,1576930773730,691
9,0,left,1,1576930439254,1343
9,0,left,2,1576930442591,308
9,0,left,3,1576930443697,172
9,0,left,5,1576930445388,11
9,0,left,7,1576930448286,380
9,0,left,6,1576930457416,121
9,0,left,1,1576930461734,1065
10,0,left,1,1576928404071,69
10,0,up,1,1576928404588,60
10,0,left,1,1576928405457,705
10,0,up,1,1576928410230,72
10,0,left,1,1576928410377,113
10,0,up,1,1576928410602,75
10,0,left,1,1576928410714,2033
11,0,left,1,1576929418614,1059
12,0,left,1,1576929893299,62
12,0,left,2,1576929893518,63
12,0,left,1,1576929894117,558
12,0,left,2,1576929894841,808
12,0,left,1,1576929898458,1100
12,0,up,1,1576929902211,165
12,0,left,1,1576929902509,232
12,0,left,3,1576929903067,252
12,0,left,4,1576929903494,617
12,0,left,6,1576929904967,719
13,0,left,1,1576931427776,2687
14,0,up,1,1576928324137,68
14,0,left,1,1576928324239,693
14,0,left,2,1576928336640,243
15,0,left,1,1576929500472,691
15,0,left,2,1576929525795,162
15,0,left,3,1576929526311,452
16,0,left,1,1576931289235,452
16,0,left,2,1576931290521,561
16,0,left,6,1576931298678,87
16,0,left,9,1576931299046,65
16,0,left,11,1576931299779,391
16,0,left,12,1576931303111,147
16,0,left,15,1576931304394,164
16,0,bot,1,1576931305990,33
16,0,left,14,1576931306822,106
16,0,left,11,1576931307659,1531
16,0,left,12,1576931313762,248
17,0,left,1,1576930022153,1220
17,0,left,2,1576930023846,447
17,0,left,3,1576930024990,81
17,0,left,4,1576930025582,47
17,0,left,6,1576930026214,210
17,0,left,8,1576930029526,94
17,0,left,1,1576930030532,501
17,0,right,1,1576930036941,103
17,0,left,1,1576930037422,864
17,0,left,2,1576930038902,85
17,0,left,1,1576930039153,132
17,0,left,2,1576930039318,295
17,0,left,1,1576930039783,197
18,0,left,1,1576927734516,394
18,0,left,2,1576927734980,315
18,0,left,3,1576927735365,378
18,0,left,1,1576927737162,1125
18,0,left,3,1576927754399,74
18,0,left,2,1576927754804,712
18,0,left,1,1576927756042,272
18,0,left,3,1576927775858,175
18,0,left,4,1576927776316,63
18,0,left,5,1576927777563,54
18,0,left,8,1576927778403,38
18,0,left,11,1576927781235,103
18,0,left,13,1576927789297,162
19,0,left,1,1576927437331,635
19,0,left,2,1576927438532,1006
19,0,left,3,1576927455353,320
19,0,left,4,1576927456533,111
19,0,right,2,1576927457892,967
19,0,right,1,1576927460175,448
19,0,right,2,1576927461924,350
19,0,right,1,1576927462344,69
19,0,right,2,1576927463131,61
19,0,right,3,1576927464113,753
19,0,right,2,1576927464935,413
19,0,right,3,1576927465665,70
19,0,right,1,1576927466251,104
19,0,right,2,1576927466390,622
19,0,left,4,1576927469899,64
19,0,left,5,1576927470044,172
19,0,left,6,1576927470441,1049
19,0,left,7,1576927500608,156
19,0,left,8,1576927500880,73
19,0,left,9,1576927503148,945
19,0,left,10,1576927504844,70
19,0,left,11,1576927504948,104
19,0,left,9,1576927505600,108
19,0,left,11,1576927505785,493
19,0,left,5,1576927521283,8
20,0,left,1,1576928601333,919
20,0,left,2,1576928602795,425
20,0,up,1,1576928603953,74
20,0,left,3,1576928652667,244
