task_id,query_id,event_idx,x,y,scrolly,timestamp,duration,event
1,0,8779,676,276,1.000000,1577504140366,44,Saccade
1,0,8780,817,328,1.000000,1577504140448,76,Saccade
1,0,8780,682,267,1.000000,1577504140487,76,Saccade
1,0,8781,431,261,1.000000,1577504140561,37,Saccade
1,0,6422,419,238,1.000000,1577504140599,74,Fixation
1,0,6422,419,238,1.000000,1577504140635,74,Fixation
1,0,8782,367,178,1.000000,1577504140674,113,Saccade
1,0,8782,415,215,1.000000,1577504140711,113,Saccade
1,0,8782,439,250,1.000000,1577504140748,113,Saccade
1,0,8783,408,166,1.000000,1577504140824,117,Saccade
1,0,8783,435,277,1.000000,1577504140862,117,Saccade
1,0,8783,410,236,1.000000,1577504140899,117,Saccade
1,0,6423,431,265,1.000000,1577504140945,78,Fixation
1,0,6423,431,265,1.000000,1577504140982,78,Fixation
1,0,8784,319,273,1.000000,1577504141018,72,Saccade
1,0,8784,212,234,1.000000,1577504141054,72,Saccade
1,0,6424,225,271,1.000000,1577504141089,351,Fixation
1,0,6424,225,271,1.000000,1577504141124,351,Fixation
1,0,6424,225,271,1.000000,1577504141159,351,Fixation
1,0,6424,225,271,1.000000,1577504141195,351,Fixation
1,0,6424,225,271,1.000000,1577504141231,351,Fixation
1,0,6424,225,271,1.000000,1577504141266,351,Fixation
1,0,6424,225,271,1.000000,1577504141301,351,Fixation
1,0,6424,225,271,1.000000,1577504141336,351,Fixation
1,0,6424,225,271,1.000000,1577504141371,351,Fixation
1,0,6424,225,271,1.000000,1577504141405,351,Fixation
1,0,8785,282,222,1.000000,1577504141440,35,Saccade
1,0,6425,268,225,1.000000,1577504141475,69,Fixation
1,0,6425,268,225,1.000000,1577504141509,69,Fixation
1,0,8786,271,105,1.000000,1577504141544,71,Saccade
1,0,8786,265,223,1.000000,1577504141579,71,Saccade
1,0,8787,262,146,1.000000,1577504141651,193,Saccade
1,0,8787,154,-14,1.000000,1577504141688,193,Saccade
1,0,8787,201,-69,1.000000,1577504141725,193,Saccade
1,0,8787,390,138,1.000000,1577504141762,193,Saccade
1,0,8787,446,174,1.000000,1577504141801,193,Saccade
1,0,6426,431,188,1.000000,1577504141851,120,Fixation
1,0,6426,431,188,1.000000,1577504141890,120,Fixation
1,0,6426,431,188,1.000000,1577504141928,120,Fixation
1,0,8788,409,114,1.000000,1577504141965,74,Saccade
1,0,8788,395,222,1.000000,1577504142002,74,Saccade
1,0,8789,368,101,1.000000,1577504142076,108,Saccade
1,0,8789,351,139,1.000000,1577504142111,108,Saccade
1,0,8789,397,200,1.000000,1577504142147,108,Saccade
1,0,8790,548,186,1.000000,1577504142230,45,Saccade
