task_id,query_id,result_type,item_id,timestamp,duration
1,0,up,1,1576823015664,137
1,0,left,1,1576823015841,342
1,0,up,1,1576823017050,710
1,0,left,2,1576823021252,341
1,0,left,1,1576823021732,241
1,0,left,2,1576823022185,159
1,0,left,4,1576823023951,63
1,0,left,3,1576823024317,184
1,0,left,5,1576823025408,249
1,0,left,6,1576823025846,137
1,0,left,5,1576823026017,970
1,0,left,6,1576823027415,108
1,0,left,7,1576823027592,669
1,0,left,8,1576823055601,86
1,0,left,7,1576823056001,104
1,0,left,8,1576823056139,458
2,0,up,1,1576822126843,453
2,0,left,2,1576822127365,102
2,0,left,9,1576822132272,542
2,0,left,10,1576822132999,633
2,0,left,12,1576822133923,736
2,0,bot,1,1576822134903,404
2,0,left,13,1576822135879,161
2,0,left,5,1576822136555,814
2,0,left,4,1576822271732,248
3,0,left,1,1576819968900,1183
3,0,left,2,1576819970271,353
3,0,left,1,1576820125629,110
3,0,left,2,1576820125849,317
3,0,left,5,1576820127247,109
3,0,left,6,1576820130231,289
3,0,left,8,1576820131702,97
3,0,left,5,1576820133286,1074
3,0,left,4,1576820134690,73
3,0,left,5,1576820134837,325
3,0,left,4,1576820135233,321
3,0,left,2,1576820150001,186
3,0,left,3,1576820150430,139
3,0,up,1,1576820150976,68
4,0,left,1,1576823303007,2377
5,0,left,1,1576823404166,1453
5,0,left,2,1576823405797,276
5,0,left,1,1576823406184,69
5,0,left,2,1576823406765,3
5,0,left,4,1576823407616,42
5,0,left,5,1576823408368,84
5,0,left,7,1576823408663,92
5,0,left,8,1576823408996,225
5,0,left,9,1576823409905,73
5,0,left,8,1576823410051,111
6,0,left,1,1576822522028,583
6,0,left,2,1576822522991,318
6,0,left,3,1576822526647,264
6,0,left,5,1576822527963,356
6,0,left,6,1576822529509,1017
6,0,left,8,1576822577544,328
6,0,left,7,1576822579436,533
6,0,left,8,1576822580190,313
6,0,left,2,1576822610666,121
6,0,left,1,1576822610842,266
6,0,left,5,1576822616238,141
7,0,left,1,1576821726507,639
7,0,up,1,1576821727210,250
7,0,left,1,1576821727586,127
7,0,left,2,1576821727777,1672
7,0,left,1,1576821730036,294
7,0,left,2,1576821734373,1402
8,0,up,1,1576822859295,112
8,0,left,1,1576822859909,441
8,0,left,3,1576822862407,84
8,0,left,5,1576822862676,495
8,0,left,1,1576822868723,309
8,0,up,1,1576822869769,168
8,0,left,1,1576822921733,599
8,0,up,1,1576822922439,248
8,0,left,1,1576822923105,69
8,0,left,2,1576822923355,389
8,0,left,3,1576822924605,450
11,0,up,1,1576821975921,464
11,0,left,1,1576821976892,68
11,0,left,2,1576821977203,213
11,0,left,3,1576821977812,175
11,0,left,1,1576821978132,105
11,0,up,1,1576822034997,154
13,0,left,1,1576819862238,4687
13,0,left,2,1576819876327,443
13,0,left,3,1576819876986,241
13,0,left,4,1576819878352,183
13,0,left,1,1576819880346,1178
13,0,up,1,1576819883200,488
14,0,up,1,1576822361075,35
14,0,left,1,1576822361145,558
14,0,up,1,1576822361942,176
14,0,left,1,1576822362470,1148
14,0,up,1,1576822364125,412
14,0,left,1,1576822364571,583
14,0,left,2,1576822416231,555
14,0,left,1,1576822418820,1120
14,0,up,1,1576822420375,66
15,0,up,1,1576820690707,350
15,0,left,1,1576820691089,585
15,0,left,2,1576820691951,310
15,0,left,3,1576820692330,140
15,0,left,2,1576820692579,105
15,0,left,3,1576820692791,216
15,0,up,1,1576820693077,523
15,0,left,1,1576820693637,144
15,0,left,3,1576820715448,198
15,0,left,5,1576820716368,181
15,0,left,6,1576820717950,1278
15,0,left,7,1576820771920,289
15,0,left,6,1576820772412,834
15,0,left,7,1576820775135,112
15,0,left,8,1576820775394,143
16,0,left,1,1576821481391,146
16,0,left,6,1576821484324,295
16,0,left,7,1576821486206,63
16,0,left,10,1576821486656,28
16,0,left,11,1576821486998,276
16,0,left,14,1576821492137,118
16,0,left,5,1576821493758,472
16,0,right,1,1576821494436,58
16,0,left,1,1576821494758,344
16,0,up,1,1576821495136,103
16,0,left,1,1576821495273,1502
16,0,left,2,1576821561996,35
16,0,left,5,1576821562943,131
16,0,left,9,1576821564455,390
17,0,up,1,1576821840878,747
17,0,left,1,1576821841816,126
17,0,up,1,1576821842006,65
17,0,left,1,1576821909053,716
17,0,left,2,1576821911920,106
17,0,left,3,1576821912453,66
17,0,left,4,1576821912970,429
18,0,left,1,1576820530244,33
18,0,up,1,1576820530715,165
18,0,left,1,1576820531248,591
18,0,left,3,1576820533400,937
18,0,left,4,1576820535948,397
18,0,left,5,1576820536449,732
18,0,left,6,1576820537760,135
18,0,left,5,1576820538168,101
18,0,left,2,1576820540439,150
18,0,left,6,1576820541864,126
18,0,left,7,1576820542264,191
18,0,left,8,1576820543081,745
18,0,left,7,1576820544226,265
18,0,left,6,1576820552955,344
18,0,left,10,1576820553560,27
18,0,left,11,1576820555742,197
18,0,left,12,1576820556358,388
18,0,left,13,1576820557375,174
18,0,bot,1,1576820558324,296
18,0,left,13,1576820558879,289
18,0,bot,1,1576820559594,228
18,0,left,13,1576820559981,62
18,0,left,12,1576820560141,541
18,0,bot,1,1576820589844,271
19,0,left,1,1576819294751,145
19,0,up,1,1576819295045,178
19,0,left,1,1576819295329,234
19,0,up,1,1576819295727,371
19,0,left,1,1576819296397,76
19,0,left,3,1576819299181,94
19,0,left,4,1576819299379,143
19,0,left,6,1576819300541,42
19,0,left,8,1576819301711,132
19,0,left,11,1576819302444,130
19,0,bot,1,1576819303527,36
19,0,left,6,1576819304376,89
19,0,left,4,1576819304776,135
19,0,left,1,1576819305808,1165
19,0,left,2,1576819328816,110
19,0,left,3,1576819328996,307
19,0,left,6,1576819330133,233
19,0,left,8,1576819332450,130
19,0,left,9,1576819334833,203
19,0,left,10,1576819335172,135
