task_id,query_id,event_idx,x,y,scrolly,timestamp,duration,event
1,0,2737,629,-36,1.000000,1577237490587,33,Saccade
1,0,2337,610,-25,1.000000,1577237490620,98,Fixation
1,0,2337,620,-14,1.000000,1577237490653,98,Fixation
1,0,2337,602,-5,1.000000,1577237490686,98,Fixation
1,0,2738,544,13,1.000000,1577237490719,33,Saccade
1,0,2739,356,128,1.000000,1577237490785,67,Saccade
1,0,2739,241,196,1.000000,1577237490818,67,Saccade
1,0,2338,233,213,1.000000,1577237490852,167,Fixation
1,0,2338,233,213,1.000000,1577237490886,167,Fixation
1,0,2338,233,213,1.000000,1577237490919,167,Fixation
1,0,2338,233,213,1.000000,1577237490952,167,Fixation
1,0,2338,233,213,1.000000,1577237490985,167,Fixation
1,0,2740,174,204,1.000000,1577237491020,34,Saccade
1,0,2339,171,243,1.000000,1577237491053,941,Fixation
1,0,2339,171,243,1.000000,1577237491087,941,Fixation
1,0,2339,171,243,1.000000,1577237491120,941,Fixation
1,0,2339,171,243,1.000000,1577237491154,941,Fixation
1,0,2339,171,243,1.000000,1577237491188,941,Fixation
1,0,2339,171,243,1.000000,1577237491222,941,Fixation
1,0,2339,171,243,1.000000,1577237491255,941,Fixation
1,0,2339,171,243,1.000000,1577237491289,941,Fixation
1,0,2339,171,243,1.000000,1577237491323,941,Fixation
1,0,2339,171,243,1.000000,1577237491355,941,Fixation
1,0,2339,171,243,1.000000,1577237491388,941,Fixation
1,0,2339,171,243,1.000000,1577237491422,941,Fixation
1,0,2339,171,243,1.000000,1577237491455,941,Fixation
1,0,2339,171,243,1.000000,1577237491488,941,Fixation
1,0,2339,171,243,1.000000,1577237491521,941,Fixation
1,0,2339,171,243,1.000000,1577237491555,941,Fixation
1,0,2339,171,243,1.000000,1577237491589,941,Fixation
1,0,2339,171,243,1.000000,1577237491623,941,Fixation
1,0,2339,171,243,1.000000,1577237491656,941,Fixation
1,0,2339,171,243,1.000000,1577237491690,941,Fixation
1,0,2339,171,243,1.000000,1577237491724,941,Fixation
1,0,2339,171,243,1.000000,1577237491758,941,Fixation
1,0,2339,171,243,1.000000,1577237491792,941,Fixation
1,0,2339,171,243,1.000000,1577237491826,941,Fixation
1,0,2339,171,243,1.000000,1577237491859,941,Fixation
1,0,2339,171,243,1.000000,1577237491893,941,Fixation
