task_id,query_id,result_type,item_id,timestamp,duration
1,0,up,1,1576759092566,165
1,0,left,1,1576759092791,1124
1,0,left,2,1576759117299,1329
1,0,left,3,1576759119175,324
1,0,left,4,1576759120741,1078
1,0,left,5,1576759173638,274
2,0,left,1,1576758381703,264
2,0,left,2,1576758382101,69
2,0,left,1,1576758382205,68
2,0,left,2,1576758382308,449
2,0,left,3,1576758383563,94
2,0,left,4,1576758383755,43
2,0,left,5,1576758384403,339
2,0,left,4,1576758385061,212
2,0,left,6,1576758385485,71
2,0,left,3,1576758475194,103
3,0,left,1,1576757255099,397
3,0,left,2,1576757255703,1008
3,0,left,1,1576757257114,1642
3,0,left,2,1576757336685,534
3,0,left,3,1576757338266,103
3,0,left,5,1576757338466,630
3,0,left,6,1576757339432,509
3,0,left,9,1576757344048,132
3,0,left,10,1576757344907,75
3,0,left,11,1576757345114,37
3,0,left,12,1576757346896,6
3,0,left,14,1576757347142,345
3,0,left,13,1576757347557,384
3,0,bot,1,1576757348355,1979
3,0,left,13,1576757352603,71
3,0,left,12,1576757352710,178
4,0,left,1,1576755443954,334
4,0,up,1,1576755444461,485
4,0,left,1,1576755444981,1866
4,0,left,2,1576755447387,1118
4,0,left,3,1576755458243,494
4,0,left,2,1576755458879,394
4,0,left,1,1576755468975,109
4,0,right,1,1576755469503,804
4,0,right,2,1576755470817,293
4,0,left,1,1576755473060,2101
4,0,left,2,1576755476829,261
4,0,left,3,1576755477164,558
4,0,left,4,1576755477886,262
4,0,left,3,1576755478339,366
4,0,left,4,1576755479000,179
4,0,left,3,1576755479215,384
4,0,left,4,1576755488848,73
4,0,left,1,1576755488993,216
5,0,up,1,1576757723931,314
5,0,left,1,1576757724834,584
5,0,up,1,1576757725487,171
5,0,left,1,1576757725692,2085
5,0,right,1,1576757746637,105
5,0,left,1,1576757746913,71
5,0,left,2,1576757747020,275
5,0,left,3,1576757747833,539
5,0,left,2,1576757759869,276
5,0,left,3,1576757760284,1064
5,0,left,1,1576757779894,135
5,0,left,4,1576757780377,1299
5,0,left,5,1576757782121,195
6,0,left,1,1576756427464,511
6,0,left,2,1576756428185,2175
6,0,left,1,1576756433590,106
6,0,left,2,1576756433732,72
6,0,left,1,1576756433839,71
6,0,up,1,1576756433983,147
6,0,left,1,1576756434458,214
6,0,up,1,1576756434780,340
6,0,left,2,1576756545801,347
6,0,left,3,1576756546802,22
6,0,left,4,1576756547369,132
6,0,left,5,1576756548269,34
6,0,left,7,1576756550901,82
6,0,left,9,1576756555995,193
6,0,left,12,1576756557115,274
6,0,left,11,1576756557527,141
6,0,left,10,1576756557754,114
6,0,left,11,1576756557904,72
6,0,left,10,1576756558399,407
7,0,left,1,1576759361449,172
7,0,left,2,1576759361759,3434
7,0,left,3,1576759366013,105
7,0,left,2,1576759366329,2175
7,0,left,1,1576759372882,743
7,0,left,2,1576759375337,107
8,0,left,1,1576756753070,3305
8,0,left,2,1576756758078,810
8,0,left,3,1576756873334,1491
9,0,left,1,1576755577772,1286
9,0,up,1,1576755580013,351
9,0,left,1,1576755611970,535
9,0,left,2,1576755613139,119
9,0,left,1,1576755613652,678
9,0,left,2,1576755614472,1111
9,0,left,3,1576755638212,1084
9,0,left,5,1576755640012,344
9,0,left,6,1576755642154,558
9,0,left,7,1576755642937,1115
9,0,left,8,1576755644226,453
10,0,left,1,1576758621271,258
10,0,up,1,1576758621848,315
10,0,left,1,1576758622356,3195
10,0,left,4,1576758662069,326
10,0,left,6,1576758666301,77
10,0,left,7,1576758671525,150
