task_id,query_id,result_type,item_id,timestamp,duration
1,0,up,1,1576748415516,305
1,0,left,1,1576748415888,944
1,0,left,2,1576748422243,1267
1,0,left,3,1576748430181,254
1,0,left,6,1576748432602,626
1,0,left,3,1576748450164,340
1,0,left,5,1576748450572,307
2,0,left,1,1576746887488,1191
2,0,up,1,1576746890976,361
2,0,left,1,1576746893822,464
2,0,up,1,1576746894359,792
2,0,left,1,1576746897625,689
2,0,left,2,1576746898823,144
2,0,left,1,1576746902186,187
2,0,left,2,1576746902727,170
2,0,left,1,1576746904542,69
2,0,left,2,1576746905741,23
2,0,left,1,1576746911175,175
2,0,up,1,1576746921997,661
2,0,left,1,1576746923569,118
2,0,left,2,1576746923727,488
2,0,left,1,1576746931936,41
2,0,left,2,1576746932752,2729
2,0,left,3,1576746957796,233
2,0,left,4,1576746958243,536
2,0,left,6,1576746959760,526
2,0,left,5,1576746960399,1593
2,0,left,6,1576746962420,305
2,0,left,5,1576746970508,203
3,0,left,1,1576748136099,292
3,0,up,1,1576748137038,365
3,0,left,1,1576748138060,222
3,0,left,2,1576748139062,82
3,0,left,1,1576748139264,154
3,0,left,2,1576748139943,36
3,0,left,1,1576748140980,1033
3,0,left,2,1576748190792,488
3,0,left,1,1576748191455,710
3,0,left,2,1576748192485,320
3,0,left,3,1576748201195,104
3,0,left,2,1576748201483,286
3,0,left,5,1576748203446,74
3,0,left,4,1576748203557,179
3,0,left,6,1576748204128,274
6,0,left,1,1576749163911,169
6,0,up,1,1576749165353,744
6,0,left,1,1576749167114,694
6,0,left,2,1576749167913,1335
6,0,left,1,1576749170216,239
6,0,left,2,1576749170530,1843
6,0,left,3,1576749173260,268
6,0,left,1,1576749174006,342
6,0,left,5,1576749175141,352
6,0,left,3,1576749175899,133
6,0,left,1,1576749176198,1831
7,0,left,1,1576749562021,182
7,0,left,2,1576749562277,264
7,0,left,1,1576749562618,331
7,0,left,2,1576749569091,664
8,0,up,1,1576748856796,99
8,0,left,1,1576748857553,2051
8,0,left,5,1576748880602,224
8,0,left,8,1576748882067,393
9,0,left,1,1576748745631,209
9,0,up,1,1576748746040,65
9,0,left,1,1576748746208,1694
9,0,left,2,1576748758478,349
9,0,left,3,1576748759546,226
9,0,left,4,1576748762565,157
9,0,left,5,1576748762895,789
9,0,left,6,1576748771258,245
9,0,left,7,1576748771608,482
9,0,left,5,1576748776539,619
10,0,up,1,1576748646965,33
10,0,left,1,1576748647067,1449
10,0,up,1,1576748648890,1182
10,0,left,2,1576748663316,175
10,0,left,1,1576748663659,440
10,0,left,2,1576748664268,804
10,0,left,3,1576748665829,271
10,0,left,2,1576748666493,369
10,0,left,1,1576748667238,874
11,0,up,1,1576748532563,274
11,0,left,1,1576748532871,1004
11,0,left,3,1576748547331,279
11,0,left,1,1576748547679,174
11,0,up,1,1576748547887,136
11,0,left,1,1576748548398,554
12,0,up,1,1576749009994,231
12,0,left,1,1576749010257,1130
12,0,left,2,1576749014160,593
12,0,left,1,1576749018200,354
12,0,left,2,1576749020082,369
12,0,left,3,1576749020551,330
12,0,left,4,1576749021449,1737
12,0,left,5,1576749042428,177
12,0,left,6,1576749042675,725
12,0,left,7,1576749071664,318
12,0,left,5,1576749072621,584
12,0,left,4,1576749073494,372
13,0,left,1,1576746649965,874
13,0,up,1,1576746651014,421
13,0,left,1,1576746651471,3548
13,0,up,1,1576746656219,209
13,0,left,1,1576746656878,1601
13,0,left,4,1576746680491,21
13,0,left,2,1576746680762,1903
13,0,left,1,1576746693253,149
13,0,left,3,1576746693478,149
13,0,left,5,1576746693663,390
13,0,left,6,1576746694384,1293
14,0,up,1,1576748022391,680
14,0,left,1,1576748023144,664
14,0,up,1,1576748023882,372
14,0,left,1,1576748024502,77
14,0,up,1,1576748024617,114
14,0,left,2,1576748043433,836
14,0,left,3,1576748044821,114
14,0,left,1,1576748045284,193
14,0,left,3,1576748045517,157
14,0,left,4,1576748045785,301
14,0,left,6,1576748047188,130
14,0,left,9,1576748048532,98
14,0,left,11,1576748048734,84
14,0,left,5,1576748049517,293
14,0,left,3,1576748049963,31
14,0,left,2,1576748050118,26
14,0,left,3,1576748051833,148
14,0,left,5,1576748052033,98
14,0,left,9,1576748054148,191
14,0,left,10,1576748055498,34
14,0,left,12,1576748055648,158
14,0,left,8,1576748057604,197
14,0,left,4,1576748058214,223
14,0,left,2,1576748058524,23
14,0,up,1,1576748058680,272
14,0,left,2,1576748061478,329
15,0,left,1,1576749495914,926
15,0,left,2,1576749497054,639
16,0,left,1,1576749276463,1121
16,0,left,2,1576749317087,326
16,0,left,4,1576749318561,485
16,0,left,5,1576749319434,1698
16,0,left,6,1576749336558,35
16,0,left,5,1576749336765,195
16,0,left,11,1576749339786,548
17,0,left,1,1576749416936,556
17,0,right,1,1576749423918,1820
17,0,left,1,1576749428102,221
18,0,left,1,1576747550368,966
18,0,left,2,1576747551550,257
18,0,left,3,1576747551843,182
18,0,left,4,1576747552348,143
18,0,up,1,1576747552931,142
18,0,left,1,1576747553109,146
18,0,up,1,1576747553291,1075
18,0,left,3,1576747566085,530
18,0,left,7,1576747567576,534
18,0,left,10,1576747570176,23
18,0,left,11,1576747570375,45
18,0,left,10,1576747571605,73
18,0,left,11,1576747571824,2
18,0,left,12,1576747572607,131
18,0,left,11,1576747573325,665
18,0,left,6,1576747574868,129
18,0,left,7,1576747575109,327
18,0,left,8,1576747575509,148
18,0,left,9,1576747576101,73
18,0,left,7,1576747580173,741
19,0,left,1,1576747078754,140
19,0,right,1,1576747078929,491
19,0,up,1,1576747079525,329
19,0,left,1,1576747079930,924
19,0,up,1,1576747081145,135
19,0,left,1,1576747081358,784
19,0,left,3,1576747082815,582
19,0,left,1,1576747083842,146
19,0,left,3,1576747084094,112
19,0,left,5,1576747085136,96
19,0,left,1,1576747085277,611
19,0,left,2,1576747085999,1248
19,0,left,1,1576747090181,463
19,0,left,5,1576747090891,505
19,0,left,4,1576747091545,356
19,0,left,1,1576747112839,203
19,0,up,1,1576747114762,186
19,0,left,1,1576747114975,248
19,0,left,3,1576747128121,74
19,0,left,4,1576747128230,216
19,0,left,3,1576747128555,250
19,0,left,4,1576747128840,287
19,0,left,5,1576747129198,1606
19,0,left,3,1576747134263,345
19,0,left,5,1576747134675,207
20,0,left,1,1576747339299,693
20,0,up,1,1576747340061,957
20,0,left,1,1576747341313,64
20,0,left,2,1576747341497,343
20,0,up,1,1576747342018,582
20,0,left,1,1576747342669,585
20,0,left,2,1576747343288,1031
20,0,left,3,1576747344455,811
20,0,left,1,1576747345774,1163
20,0,up,1,1576747347677,167
20,0,left,1,1576747347878,1481
20,0,left,2,1576747382204,80
20,0,left,5,1576747382409,323
20,0,left,6,1576747383819,73
20,0,left,5,1576747384038,72
20,0,left,6,1576747402851,219
20,0,left,5,1576747403476,73
20,0,left,6,1576747404025,187
20,0,left,7,1576747421472,365
20,0,left,5,1576747422018,573
20,0,left,7,1576747422663,531
20,0,left,10,1576747423374,251
20,0,left,8,1576747423906,281
20,0,left,7,1576747425530,1150
20,0,left,6,1576747431037,217
20,0,left,8,1576747432653,323
20,0,left,9,1576747433012,179
