task_id,query_id,result_type,item_id,timestamp,duration
1,0,left,1,1577425787279,1065
1,0,left,2,1577425792817,488
1,0,left,1,1577425793718,590
1,0,left,2,1577425794930,719
2,0,left,1,1577425995532,155
2,0,left,2,1577425996992,151
2,0,left,1,1577425997554,178
2,0,left,2,1577425997976,169
2,0,left,1,1577426000683,217
2,0,left,2,1577426001539,258
2,0,left,1,1577426002292,299
2,0,left,2,1577426014438,516
2,0,left,1,1577426015210,219
2,0,left,3,1577426015601,743
4,0,left,1,1577426853982,2416
4,0,left,2,1577426894922,142
4,0,left,1,1577426908949,182
4,0,left,3,1577426909606,174
4,0,left,1,1577426910285,138
5,0,left,1,1577426996635,147
5,0,left,2,1577426997931,152
5,0,left,1,1577426998313,666
5,0,left,2,1577426999953,125
5,0,left,1,1577427023803,181
5,0,left,2,1577427024775,1269
6,0,left,1,1577427712329,176
6,0,up,1,1577427713118,69
6,0,left,1,1577427713222,404
6,0,left,2,1577427713913,73
6,0,left,3,1577427715138,974
6,0,up,1,1577427727839,68
6,0,left,1,1577427728499,710
6,0,left,2,1577427747715,259
6,0,left,1,1577427748812,320
7,0,left,1,1577427186977,249
7,0,left,2,1577427187863,1007
8,0,left,2,1577427285494,190
8,0,left,1,1577427286194,164
8,0,left,3,1577427306394,199
8,0,left,4,1577427317706,363
8,0,left,2,1577427319541,205
8,0,left,3,1577427333929,138
8,0,left,1,1577427335640,271
9,0,left,1,1577425137425,3432
9,0,left,2,1577425171599,70
9,0,left,1,1577425171711,1641
11,0,left,1,1577425457789,3319
11,0,left,2,1577425471545,70
12,0,left,1,1577426721338,1554
12,0,left,2,1577426726206,804
12,0,left,3,1577426729611,285
12,0,left,4,1577426730494,620
12,0,left,2,1577426731973,139
12,0,left,3,1577426746012,170
12,0,right,2,1577426747247,96
12,0,left,1,1577426747440,107
12,0,left,2,1577426747839,78
13,0,left,1,1577424490790,1288
13,0,left,2,1577424590521,1226
13,0,left,1,1577424646783,110
13,0,left,2,1577424648297,1607
13,0,left,3,1577424651720,193
13,0,left,1,1577424652341,1610
14,0,left,1,1577427586550,1329
14,0,left,2,1577427601281,1506
14,0,left,3,1577427605636,238
14,0,left,2,1577427606011,272
14,0,left,3,1577427606428,434
14,0,left,4,1577427608810,51
14,0,left,6,1577427610509,227
14,0,left,8,1577427613164,732
15,0,left,1,1577426177100,1657
16,0,left,1,1577425575545,1188
16,0,left,2,1577425577370,140
16,0,left,1,1577425577678,363
16,0,up,1,1577425579882,80
16,0,left,1,1577425580004,70
16,0,left,2,1577425580396,572
16,0,left,5,1577425583824,323
16,0,right,1,1577425585873,157
16,0,left,5,1577425586756,48
16,0,left,6,1577425587089,11
16,0,left,10,1577425588372,341
16,0,left,11,1577425589250,131
16,0,left,16,1577425591423,145
16,0,bot,1,1577425592221,82
16,0,left,16,1577425593268,322
16,0,left,14,1577425593910,462
16,0,left,15,1577425596218,109
16,0,left,14,1577425596509,952
16,0,left,15,1577425597642,698
16,0,left,14,1577425598447,72
16,0,left,15,1577425599451,224
17,0,left,1,1577426304535,1748
17,0,up,1,1577426328847,140
17,0,left,1,1577426329023,699
19,0,left,2,1577426533091,169
19,0,left,1,1577426533397,72
19,0,left,3,1577426533864,203
19,0,left,1,1577426534220,468
19,0,left,2,1577426554985,1146
19,0,left,3,1577426577518,1816
19,0,left,5,1577426586814,586
19,0,left,4,1577426588309,544
19,0,left,7,1577426590445,122
19,0,left,6,1577426590761,26
20,0,left,1,1577426425173,1225
20,0,left,2,1577426441019,680
